"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~4세","2026년06월_계_5~9세","2026년06월_계_10~14세","2026년06월_계_15~19세","2026년06월_계_20~24세","2026년06월_계_25~29세","2026년06월_계_30~34세","2026년06월_계_35~39세","2026년06월_계_40~44세","2026년06월_계_45~49세","2026년06월_계_50~54세","2026년06월_계_55~59세","2026년06월_계_60~64세","2026년06월_계_65~69세","2026년06월_계_70~74세","2026년06월_계_75~79세","2026년06월_계_80~84세","2026년06월_계_85~89세","2026년06월_계_90~94세","2026년06월_계_95~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~4세","2026년06월_남_5~9세","2026년06월_남_10~14세","2026년06월_남_15~19세","2026년06월_남_20~24세","2026년06월_남_25~29세","2026년06월_남_30~34세","2026년06월_남_35~39세","2026년06월_남_40~44세","2026년06월_남_45~49세","2026년06월_남_50~54세","2026년06월_남_55~59세","2026년06월_남_60~64세","2026년06월_남_65~69세","2026년06월_남_70~74세","2026년06월_남_75~79세","2026년06월_남_80~84세","2026년06월_남_85~89세","2026년06월_남_90~94세","2026년06월_남_95~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~4세","2026년06월_여_5~9세","2026년06월_여_10~14세","2026년06월_여_15~19세","2026년06월_여_20~24세","2026년06월_여_25~29세","2026년06월_여_30~34세","2026년06월_여_35~39세","2026년06월_여_40~44세","2026년06월_여_45~49세","2026년06월_여_50~54세","2026년06월_여_55~59세","2026년06월_여_60~64세","2026년06월_여_65~69세","2026년06월_여_70~74세","2026년06월_여_75~79세","2026년06월_여_80~84세","2026년06월_여_85~89세","2026년06월_여_90~94세","2026년06월_여_95~99세","2026년06월_여_100세 이상"
"서울특별시 도봉구 (1132000000)","298,225","298,225","4,986","6,453","9,703","11,248","13,577","18,773","20,186","16,892","18,747","20,344","24,026","27,314","25,672","27,572","20,126","14,053","10,095","5,928","2,020","437","73","143,845","143,845","2,562","3,368","5,083","5,798","6,458","9,369","10,403","8,676","9,571","10,084","11,738","12,960","12,151","12,793","9,368","6,320","4,229","2,212","588","96","18","154,380","154,380","2,424","3,085","4,620","5,450","7,119","9,404","9,783","8,216","9,176","10,260","12,288","14,354","13,521","14,779","10,758","7,733","5,866","3,716","1,432","341","55"
"서울특별시 노원구 (1135000000)","481,053","481,053","10,084","12,346","19,775","23,739","28,632","31,302","32,985","28,859","31,526","36,442","41,100","41,445","35,723","36,537","27,187","18,828","13,211","7,659","2,932","656","85","229,866","229,866","5,159","6,395","10,193","12,245","14,212","15,836","16,637","14,633","15,203","17,386","19,545","20,047","16,862","16,617","12,213","8,029","5,151","2,547","799","143","14","251,187","251,187","4,925","5,951","9,582","11,494","14,420","15,466","16,348","14,226","16,323","19,056","21,555","21,398","18,861","19,920","14,974","10,799","8,060","5,112","2,133","513","71"
"서울특별시 은평구 (1138000000)","453,212","453,212","9,157","10,627","15,338","17,741","21,278","33,186","37,205","29,852","30,693","33,006","37,481","38,632","34,123","34,995","25,838","19,281","13,772","7,776","2,604","553","74","214,139","214,139","4,801","5,417","7,800","9,001","10,281","14,982","17,757","14,901","15,207","16,181","18,146","18,419","16,087","16,020","11,381","8,210","5,612","2,960","823","131","22","239,073","239,073","4,356","5,210","7,538","8,740","10,997","18,204","19,448","14,951","15,486","16,825","19,335","20,213","18,036","18,975","14,457","11,071","8,160","4,816","1,781","422","52"
"서울특별시 서대문구 (1141000000)","299,810","299,810","6,853","8,030","10,333","11,365","19,034","25,416","24,717","20,777","20,826","20,783","23,191","24,115","21,019","20,824","14,936","11,368","8,636","5,270","1,861","401","55","141,189","141,189","3,513","4,126","5,130","5,571","8,101","11,916","12,162","10,138","10,288","10,168","11,210","11,681","10,088","9,637","6,764","4,666","3,407","1,924","591","96","12","158,621","158,621","3,340","3,904","5,203","5,794","10,933","13,500","12,555","10,639","10,538","10,615","11,981","12,434","10,931","11,187","8,172","6,702","5,229","3,346","1,270","305","43"
"서울특별시 마포구 (1144000000)","356,487","356,487","8,257","9,599","12,330","13,314","20,622","32,996","35,910","28,639","27,680","26,441","28,702","27,070","21,928","20,746","15,068","11,115","8,583","5,106","1,903","428","50","165,403","165,403","4,239","4,923","6,193","6,584","8,865","14,202","16,683","13,575","13,400","12,651","13,695","13,207","10,644","9,524","6,634","4,467","3,346","1,857","591","113","10","191,084","191,084","4,018","4,676","6,137","6,730","11,757","18,794","19,227","15,064","14,280","13,790","15,007","13,863","11,284","11,222","8,434","6,648","5,237","3,249","1,312","315","40"
"서울특별시 양천구 (1147000000)","421,247","421,247","8,135","14,040","22,536","23,059","19,578","25,338","27,280","24,222","32,005","36,528","36,295","34,720","30,942","31,252","23,223","15,494","9,244","5,010","1,875","409","62","204,885","204,885","4,180","7,222","11,582","11,939","9,892","12,439","13,801","11,847","15,300","17,620","18,095","17,025","15,016","14,553","10,771","7,232","4,000","1,788","484","90","9","216,362","216,362","3,955","6,818","10,954","11,120","9,686","12,899","13,479","12,375","16,705","18,908","18,200","17,695","15,926","16,699","12,452","8,262","5,244","3,222","1,391","319","53"
"서울특별시 강서구 (1150000000)","548,515","548,515","12,230","13,871","19,219","20,584","24,249","45,413","54,052","42,582","40,712","40,571","41,211","39,805","37,600","41,039","30,713","21,040","12,846","7,267","2,761","652","98","261,729","261,729","6,234","7,141","9,813","10,508","11,236","19,726","26,375","21,600","20,654","20,206","20,405","19,267","17,454","18,706","13,787","9,577","5,543","2,577","776","130","14","286,786","286,786","5,996","6,730","9,406","10,076","13,013","25,687","27,677","20,982","20,058","20,365","20,806","20,538","20,146","22,333","16,926","11,463","7,303","4,690","1,985","522","84"
"서울특별시 구로구 (1153000000)","382,633","382,633","9,371","9,694","12,679","14,025","16,594","28,455","33,583","28,332","26,729","27,377","29,369","30,150","28,190","29,626","22,924","16,817","10,808","5,599","1,876","390","45","186,738","186,738","4,820","5,007","6,408","7,085","8,037","13,388","16,981","14,579","13,819","13,834","14,790","14,856","13,743","13,731","10,337","7,697","4,748","2,206","572","92","8","195,895","195,895","4,551","4,687","6,271","6,940","8,557","15,067","16,602","13,753","12,910","13,543","14,579","15,294","14,447","15,895","12,587","9,120","6,060","3,393","1,304","298","37"
"서울특별시 금천구 (1154500000)","222,503","222,503","3,903","4,159","5,486","6,388","9,375","21,482","24,067","16,060","13,748","13,605","15,789","18,546","18,804","18,333","12,925","9,184","6,165","3,169","1,068","222","25","111,649","111,649","1,984","2,125","2,823","3,198","4,339","10,278","13,143","8,863","7,542","7,262","8,073","9,165","9,394","8,988","6,017","4,204","2,664","1,212","314","53","8","110,854","110,854","1,919","2,034","2,663","3,190","5,036","11,204","10,924","7,197","6,206","6,343","7,716","9,381","9,410","9,345","6,908","4,980","3,501","1,957","754","169","17"
"서울특별시 영등포구 (1156000000)","371,867","371,867","10,155","9,384","11,001","11,350","16,153","35,553","42,719","32,449","27,171","24,821","26,345","27,332","24,536","24,509","17,969","13,497","9,242","5,308","1,947","374","52","181,242","181,242","5,218","4,743","5,679","5,812","7,360","15,566","20,997","16,663","14,030","12,561","13,252","13,769","12,484","11,873","8,388","6,030","3,965","2,080","652","107","13","190,625","190,625","4,937","4,641","5,322","5,538","8,793","19,987","21,722","15,786","13,141","12,260","13,093","13,563","12,052","12,636","9,581","7,467","5,277","3,228","1,295","267","39"
"서울특별시 동작구 (1159000000)","371,999","371,999","8,284","8,911","11,532","13,411","22,918","36,122","35,294","26,930","25,147","25,366","27,990","28,372","24,616","25,093","19,002","14,627","10,202","5,691","1,993","448","50","179,484","179,484","4,299","4,561","5,902","6,868","10,635","17,380","18,032","13,759","12,778","12,638","13,647","13,784","11,739","11,449","8,452","6,171","4,406","2,229","639","105","11","192,515","192,515","3,985","4,350","5,630","6,543","12,283","18,742","17,262","13,171","12,369","12,728","14,343","14,588","12,877","13,644","10,550","8,456","5,796","3,462","1,354","343","39"
"서울특별시 관악구 (1162000000)","477,797","477,797","6,503","6,925","10,059","13,519","32,045","68,929","59,847","35,097","28,382","28,870","31,566","32,434","29,561","30,224","23,590","18,476","12,709","6,601","1,985","429","46","240,032","240,032","3,219","3,598","5,118","6,723","14,269","33,914","33,251","19,800","15,510","15,518","16,451","16,472","14,741","13,912","10,542","8,094","5,507","2,628","677","81","7","237,765","237,765","3,284","3,327","4,941","6,796","17,776","35,015","26,596","15,297","12,872","13,352","15,115","15,962","14,820","16,312","13,048","10,382","7,202","3,973","1,308","348","39"
"서울특별시 서초구 (1165000000)","414,383","414,383","10,690","15,366","22,630","23,026","20,698","26,568","29,392","27,920","33,410","37,359","36,799","31,986","24,608","24,177","19,128","14,189","9,265","4,832","1,824","451","65","196,662","196,662","5,504","7,965","11,465","11,489","9,915","12,370","14,016","12,622","15,288","17,309","17,766","15,957","11,820","11,023","8,559","6,404","4,325","2,087","643","118","17","217,721","217,721","5,186","7,401","11,165","11,537","10,783","14,198","15,376","15,298","18,122","20,050","19,033","16,029","12,788","13,154","10,569","7,785","4,940","2,745","1,181","333","48"
"서울특별시 강남구 (1168000000)","552,830","552,830","12,515","18,736","31,648","31,977","25,762","35,697","41,341","37,927","45,932","53,021","48,533","40,305","31,848","31,511","26,418","19,031","11,649","6,028","2,272","587","92","263,818","263,818","6,418","9,709","16,531","16,566","12,569","16,146","19,680","17,549","20,455","24,607","24,080","20,320","15,592","14,243","11,681","8,613","5,548","2,633","719","140","19","289,012","289,012","6,097","9,027","15,117","15,411","13,193","19,551","21,661","20,378","25,477","28,414","24,453","19,985","16,256","17,268","14,737","10,418","6,101","3,395","1,553","447","73"
