지역,소멸위험지수,여성_20_39세,65세_이상,기준월,산식
서울특별시 동대문구,0.77,57439,74629,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 동작구,0.797,61458,77106,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 마포구,1.029,64842,62999,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 서대문구,0.752,47627,63351,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 서초구,0.753,55655,73931,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 성동구,0.811,44155,54447,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 성북구,0.694,61858,89110,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 송파구,0.776,95737,123327,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 양천구,0.56,48439,86569,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 영등포구,0.909,66288,72898,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 용산구,0.831,33322,40120,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 은평구,0.606,63600,104893,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 종로구,0.662,20711,31263,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 중구,0.693,19191,27701,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
서울특별시 중랑구,0.579,52536,90782,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
세종특별자치시 세종특별자치시,0.926,46174,49871,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
울산광역시 남구,0.584,33223,56898,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
울산광역시 동구,0.423,13015,30798,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
울산광역시 북구,0.717,21193,29555,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
울산광역시 울주군,0.402,19372,48168,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
울산광역시 중구,0.413,19078,46142,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 강화군,0.137,3992,29163,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 계양구,0.541,31820,58847,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 남동구,0.529,54108,102290,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 동구,0.328,5536,16881,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 미추홀구,0.543,50139,92292,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 부평구,0.595,61501,103325,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 서구,0.861,84866,98623,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 연수구,0.835,50092,60007,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 옹진군,0.15,1089,7265,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
인천광역시 중구,0.809,24352,30100,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 강진군,0.144,1882,13064,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 고흥군,0.091,2586,28413,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 곡성군,0.142,1648,11583,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 광양시,0.553,15562,28148,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 구례군,0.13,1320,10138,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 나주시,0.382,11748,30728,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 담양군,0.166,2800,16914,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 목포시,0.387,18332,47425,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 무안군,0.473,9860,20837,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 보성군,0.114,1931,16869,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 순천시,0.491,28768,58612,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 신안군,0.136,2236,16501,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 여수시,0.334,22829,68279,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 영광군,0.256,4530,17674,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 영암군,0.193,3164,16430,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 완도군,0.131,2302,17538,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 장성군,0.195,3003,15429,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 장흥군,0.137,1917,13971,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 진도군,0.141,1591,11249,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 함평군,0.125,1595,12736,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 해남군,0.143,3526,24626,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전라남도 화순군,0.246,4893,19853,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 고창군,0.13,2719,20870,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 군산시,0.347,22265,64219,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 김제시,0.2,6001,30000,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 남원시,0.188,4926,26161,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 무주군,0.146,1368,9356,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 부안군,0.132,2533,19234,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 순창군,0.16,1730,10831,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 완주군,0.332,9157,27560,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 익산시,0.365,25585,70191,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 임실군,0.12,1340,11198,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 장수군,0.139,1220,8755,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 전주시 덕진구,0.618,35539,57541,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 전주시 완산구,0.512,35583,69448,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 정읍시,0.209,7158,34282,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
전북특별자치도 진안군,0.132,1386,10514,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
제주특별자치도 서귀포시,0.327,14593,44626,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
제주특별자치도 제주시,0.573,52788,92096,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 계룡시,0.567,4429,7812,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 공주시,0.251,8521,34013,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 금산군,0.138,2651,19220,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 논산시,0.208,7603,36530,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 당진시,0.351,14100,40186,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 보령시,0.194,6089,31418,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 부여군,0.119,3039,25613,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 서산시,0.334,14010,41975,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 서천군,0.111,2331,20945,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 아산시,0.694,40972,59018,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 예산군,0.182,5318,29283,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 천안시 동남구,0.578,30428,52621,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 천안시 서북구,1.028,53922,52430,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 청양군,0.127,1647,12963,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 태안군,0.132,3162,24025,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청남도 홍성군,0.295,8627,29222,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 괴산군,0.109,1786,16412,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 단양군,0.115,1300,11286,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 보은군,0.117,1588,13525,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 영동군,0.136,2425,17768,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 옥천군,0.17,3214,18901,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 음성군,0.29,7658,26403,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 제천시,0.278,10655,38381,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 증평군,0.388,3405,8781,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 진천군,0.412,7604,18464,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 청주시 상당구,0.497,20285,40798,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 청주시 서원구,0.548,21772,39755,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 청주시 청원구,0.633,21182,33438,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 청주시 흥덕구,0.903,39350,43598,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
충청북도 충주시,0.332,18268,54980,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
